[2022-04-17 00:27:31,142 |   INFO   | twitter_profile_scraper] cryptokeeper007 | 195 followers
[2022-04-17 00:27:31,142 |   INFO   | twitter_profile_scraper] michaelsilber
[2022-04-17 00:27:32,171 |   INFO   | twitter_profile_scraper] michaelsilber | VALID
[2022-04-17 00:27:32,255 |   INFO   | twitter_profile_scraper] michaelsilber | 195 followers
[2022-04-17 00:27:32,256 |   INFO   | twitter_profile_scraper] cafe_chimney
[2022-04-17 00:27:33,293 |   INFO   | twitter_profile_scraper] cafe_chimney | VALID
[2022-04-17 00:27:33,379 |   INFO   | twitter_profile_scraper] cafe_chimney | 103 followers
[2022-04-17 00:27:33,379 |   INFO   | twitter_profile_scraper] 11it1
[2022-04-17 00:27:34,399 |   INFO   | twitter_profile_scraper] 11it1 | VALID
[2022-04-17 00:27:34,490 |   INFO   | twitter_profile_scraper] 11it1 | 1,758 followers
[2022-04-17 00:27:34,490 |   INFO   | twitter_profile_scraper] shawn_vh
[2022-04-17 00:27:35,596 |   INFO   | twitter_profile_scraper] shawn_vh | VALID
[2022-04-17 00:27:35,686 |   INFO   | twitter_profile_scraper] shawn_vh | 2,002 followers
[2022-04-17 00:27:35,686 |   INFO   | twitter_profile_scraper] birdguysnft
[2022-04-17 00:27:36,683 |   INFO   | twitter_profile_scraper] birdguysnft | VALID
[2022-04-17 00:27:36,772 |   INFO   | twitter_profile_scraper] birdguysnft | 2,947 followers
[2022-04-17 00:27:36,772 |   INFO   | twitter_profile_scraper] ogdonbrazy
[2022-04-17 00:27:37,792 |   INFO   | twitter_profile_scraper] ogdonbrazy | VALID
[2022-04-17 00:27:37,880 |   INFO   | twitter_profile_scraper] ogdonbrazy | 145 followers
[2022-04-17 00:27:37,893 |   INFO   | twitter_profile_scraper] devlaofficial
[2022-04-17 00:27:38,898 |   INFO   | twitter_profile_scraper] devlaofficial | VALID
[2022-04-17 00:27:38,991 |   INFO   | twitter_profile_scraper] devlaofficial | 51 followers
[2022-04-17 00:27:38,992 |   INFO   | twitter_profile_scraper] dived33per
[2022-04-17 00:27:40,005 |   INFO   | twitter_profile_scraper] dived33per | VALID
[2022-04-17 00:27:40,093 |   INFO   | twitter_profile_scraper] dived33per | 664 followers
[2022-04-17 00:27:40,094 |   INFO   | twitter_profile_scraper] lidenhenrik
[2022-04-17 00:27:41,084 |   INFO   | twitter_profile_scraper] lidenhenrik | VALID
[2022-04-17 00:27:41,173 |   INFO   | twitter_profile_scraper] lidenhenrik | 821 followers
[2022-04-17 00:27:41,173 |   INFO   | twitter_profile_scraper] rohankymal
[2022-04-17 00:27:42,172 |   INFO   | twitter_profile_scraper] rohankymal | VALID
[2022-04-17 00:27:42,264 |   INFO   | twitter_profile_scraper] rohankymal | 529 followers
[2022-04-17 00:27:42,265 |   INFO   | twitter_profile_scraper] javidiamond2018
[2022-04-17 00:27:43,327 |   INFO   | twitter_profile_scraper] javidiamond2018 | VALID
[2022-04-17 00:27:43,412 |   INFO   | twitter_profile_scraper] javidiamond2018 | 134 followers
[2022-04-17 00:27:43,413 |   INFO   | twitter_profile_scraper] mahogany0609
[2022-04-17 00:27:44,393 |   INFO   | twitter_profile_scraper] mahogany0609 | VALID
[2022-04-17 00:27:44,478 |   INFO   | twitter_profile_scraper] mahogany0609 | 494 followers
[2022-04-17 00:27:44,479 |   INFO   | twitter_profile_scraper] jaygee172
[2022-04-17 00:27:45,491 |   INFO   | twitter_profile_scraper] jaygee172 | VALID
[2022-04-17 00:27:45,571 |   INFO   | twitter_profile_scraper] jaygee172 | 69 followers
[2022-04-17 00:27:45,572 |   INFO   | twitter_profile_scraper] crypto_ninja704
[2022-04-17 00:27:46,565 |   INFO   | twitter_profile_scraper] crypto_ninja704 | VALID
